,mape,rmse,smape,mae
yhat_arima,1.0163734294069178,6135.3630272238315,1.027295656624695,2702.7129461888694
random_walk_with_drift,2.7079860924293864,14245.985804910379,2.77413762939275,7848.350903465346
naive,3.1611042305240518,15758.518888139672,3.2451350416842772,8967.523102310231
ses_alpha-0.9,3.278454688787633,16238.669468861537,3.367733624791795,9296.871024752476
yhat_prophet,4.428069471731151,23444.319467942216,4.597586171750077,12941.32391146427
window_average_window_size-4,4.662784213320769,21675.011886456505,4.827229876652875,13079.987761276128
seasonal_naive_season_length-12,10.752652752798781,42875.83671986223,11.538913308908484,28783.919691969197
historic_average,27.053283175757837,96878.18045555474,32.00803547742691,68741.67935203521
