unique_id,ds,yhat
102001,2021-06-30,282831.47126280254
102001,2021-07-31,284001.32474921516
102001,2021-08-31,273896.1633176573
102001,2021-09-30,286137.9340998321
394297,2021-06-30,180762.06528336508
394297,2021-07-31,180070.1830137763
394297,2021-08-31,179617.5192855602
394297,2021-09-30,180482.55229666477
394298,2021-06-30,264976.25963493326
394298,2021-07-31,261952.00533915052
394298,2021-08-31,254287.78384188018
394298,2021-09-30,266631.3594844037
394299,2021-06-30,149776.06794970567
394299,2021-07-31,150042.16507961525
394299,2021-08-31,146658.4955429178
394299,2021-09-30,151204.9152502524
394300,2021-06-30,111272.01795008188
394300,2021-07-31,107979.29063560603
394300,2021-08-31,107131.22096433089
394300,2021-09-30,109032.11659682126
394302,2021-06-30,179168.77385471849
394302,2021-07-31,177596.5214186573
394302,2021-08-31,175392.81550375573
394302,2021-09-30,178969.83619364534
394304,2021-06-30,177347.73657537394
394304,2021-07-31,177326.58099441644
394304,2021-08-31,170990.64773226032
394304,2021-09-30,178577.32604343758
394305,2021-06-30,147699.91135007475
394305,2021-07-31,148620.40110554255
394305,2021-08-31,142318.73390456365
394305,2021-09-30,152101.0981230691
394306,2021-06-30,115022.95076957981
394306,2021-07-31,115650.1147061622
394306,2021-08-31,115825.36847504706
394306,2021-09-30,116114.00259186295
394307,2021-06-30,332175.99782466737
394307,2021-07-31,333495.8344445934
394307,2021-08-31,325018.6551601362
394307,2021-09-30,337357.29410592007
394308,2021-06-30,233655.95634403065
394308,2021-07-31,231087.72813750937
394308,2021-08-31,223310.94057996385
394308,2021-09-30,232389.3617507892
394309,2021-06-30,207097.56899991838
394309,2021-07-31,208109.77346076517
394309,2021-08-31,205269.8006517948
394309,2021-09-30,209545.52799697572
394310,2021-06-30,129306.19926741887
394310,2021-07-31,129934.41647488668
394310,2021-08-31,127500.67126046267
394310,2021-09-30,130406.53712994923
394311,2021-06-30,156398.3771060752
394311,2021-07-31,156982.57169646956
394311,2021-08-31,150373.42702085222
394311,2021-09-30,158626.34212465349
394312,2021-06-30,252681.0377213782
394312,2021-07-31,252645.82705655246
394312,2021-08-31,239083.83432514375
394312,2021-09-30,254553.97340672405
394314,2021-06-30,160026.1948155024
394314,2021-07-31,160317.41028593972
394314,2021-08-31,159477.20330368943
394314,2021-09-30,160502.81828720446
394315,2021-06-30,251653.6694091122
394315,2021-07-31,252214.75764875923
394315,2021-08-31,248549.31126354012
394315,2021-09-30,253696.18124446925
394316,2021-06-30,103958.3615357237
394316,2021-07-31,104064.45649412733
394316,2021-08-31,102470.56166442404
394316,2021-09-30,104622.29440351737
394318,2021-06-30,252751.79426926313
394318,2021-07-31,248994.47624964511
394318,2021-08-31,238953.7343404916
394318,2021-09-30,250841.4017646699
394319,2021-06-30,103671.64952773592
394319,2021-07-31,103175.11375446834
394319,2021-08-31,102140.68697916475
394319,2021-09-30,103760.8532774092
394320,2021-06-30,111238.5622016807
394320,2021-07-31,110801.62117324266
394320,2021-08-31,110139.35247284846
394320,2021-09-30,111441.20400876379
394321,2021-06-30,125469.87337030045
394321,2021-07-31,124792.82382456647
394321,2021-08-31,124679.9267828762
394321,2021-09-30,125334.95550999253
394322,2021-06-30,70452.90997313701
394322,2021-07-31,71363.13566938668
394322,2021-08-31,71466.91067337006
394322,2021-09-30,71616.20254858094
394323,2021-06-30,164352.99545299614
394323,2021-07-31,162539.29309076717
394323,2021-08-31,158594.88301761216
394323,2021-09-30,163415.6086935266
394324,2021-06-30,91226.42841132724
394324,2021-07-31,91485.86363086398
394324,2021-08-31,91478.47263734977
394324,2021-09-30,91813.85811027454
394325,2021-06-30,217916.46459082878
394325,2021-07-31,218658.9011687318
394325,2021-08-31,216624.82461670513
394325,2021-09-30,219678.49491941644
394326,2021-06-30,127924.74720728974
394326,2021-07-31,127860.65839282984
394326,2021-08-31,126361.60174188261
394326,2021-09-30,128508.48564445325
394327,2021-06-30,319990.2868877166
394327,2021-07-31,320492.69776238553
394327,2021-08-31,323398.7288788354
394327,2021-09-30,321391.8231191315
394330,2021-06-30,186876.5265130565
394330,2021-07-31,188156.21511352947
394330,2021-08-31,188258.03741090506
394330,2021-09-30,189925.60248562804
394331,2021-06-30,195088.49319290745
394331,2021-07-31,195648.06536199854
394331,2021-08-31,194155.61064964937
394331,2021-09-30,197181.17458977128
394332,2021-06-30,331564.9300365093
394332,2021-07-31,334202.72832856845
394332,2021-08-31,333696.51734608837
394332,2021-09-30,336546.1482622971
394333,2021-06-30,119422.96676053421
394333,2021-07-31,118668.22520619046
394333,2021-08-31,116959.04930201665
394333,2021-09-30,119601.88986598286
394334,2021-06-30,218865.2407892684
394334,2021-07-31,219767.9974190242
394334,2021-08-31,214514.22298200554
394334,2021-09-30,221828.51207824316
394335,2021-06-30,150008.20884484067
394335,2021-07-31,151257.41759535435
394335,2021-08-31,150703.45810239378
394335,2021-09-30,152706.89968784884
394336,2021-06-30,100470.90561597797
394336,2021-07-31,99763.9056775839
394336,2021-08-31,99592.02637402876
394336,2021-09-30,100468.65003859744
394337,2021-06-30,94787.46152899374
394337,2021-07-31,95761.67855273673
394337,2021-08-31,97125.77447497488
394337,2021-09-30,96209.03884364388
394338,2021-06-30,320405.6015947687
394338,2021-07-31,321085.61801107565
394338,2021-08-31,307854.73747563385
394338,2021-09-30,323738.15549787
394339,2021-06-30,158269.36437036307
394339,2021-07-31,158707.31586991026
394339,2021-08-31,155905.65108252896
394339,2021-09-30,159707.90303117217
394340,2021-06-30,123345.61899893743
394340,2021-07-31,122630.9782031825
394340,2021-08-31,122195.86720925504
394340,2021-09-30,123426.65381833503
394341,2021-06-30,389891.42624539917
394341,2021-07-31,395852.46443082084
394341,2021-08-31,367283.98234784114
394341,2021-09-30,398454.3007822207
394342,2021-06-30,100496.57370248
394342,2021-07-31,100513.59977243257
394342,2021-08-31,100207.29719449884
394342,2021-09-30,100919.31569854084
394343,2021-06-30,152407.1664041798
394343,2021-07-31,152992.79017446507
394343,2021-08-31,149934.533633419
394343,2021-09-30,153964.21257741947
394344,2021-06-30,150881.56261719042
394344,2021-07-31,150243.64002147067
394344,2021-08-31,149661.18017962895
394344,2021-09-30,151331.04386279514
394345,2021-06-30,199826.0818980736
394345,2021-07-31,199980.0342221466
394345,2021-08-31,181353.42688524755
394345,2021-09-30,201314.30527407068
394346,2021-06-30,237361.25593921123
394346,2021-07-31,238731.6576638951
394346,2021-08-31,238931.1686353594
394346,2021-09-30,241240.58166846843
394347,2021-06-30,282194.5785733398
394347,2021-07-31,282245.12868692
394347,2021-08-31,275635.24883945467
394347,2021-09-30,285183.6147533787
394348,2021-06-30,245376.56285481743
394348,2021-07-31,239882.41019308864
394348,2021-08-31,232605.40906625174
394348,2021-09-30,242234.1208068869
394349,2021-06-30,168837.4297511582
394349,2021-07-31,169144.07880295604
394349,2021-08-31,168160.92203519816
394349,2021-09-30,171253.61819922444
394350,2021-06-30,146287.99561357396
394350,2021-07-31,145580.4071718539
394350,2021-08-31,145192.20282555182
394350,2021-09-30,146591.8443802473
394351,2021-06-30,226405.69326009537
394351,2021-07-31,226777.07738137254
394351,2021-08-31,223925.0429257533
394351,2021-09-30,228719.61997379782
394352,2021-06-30,179161.3321253707
394352,2021-07-31,179227.76786440896
394352,2021-08-31,173395.34007719703
394352,2021-09-30,180624.86803317151
394353,2021-06-30,219962.95779690484
394353,2021-07-31,218634.3188801765
394353,2021-08-31,204466.710574822
394353,2021-09-30,220707.32729648385
394354,2021-06-30,151239.56272455934
394354,2021-07-31,150203.2557195084
394354,2021-08-31,145387.77725415563
394354,2021-09-30,152020.5023179318
394355,2021-06-30,420943.6879616085
394355,2021-07-31,423644.2151100117
394355,2021-08-31,381105.9753905747
394355,2021-09-30,426785.1268508678
394356,2021-06-30,110732.19397545997
394356,2021-07-31,110325.10074976702
394356,2021-08-31,110052.25617414956
394356,2021-09-30,110886.97891088288
394357,2021-06-30,270306.7467622913
394357,2021-07-31,269173.9860229115
394357,2021-08-31,256322.35997169913
394357,2021-09-30,271109.9425695365
394358,2021-06-30,331171.83077386103
394358,2021-07-31,329797.8519928163
394358,2021-08-31,314898.6693059215
394358,2021-09-30,331037.22489247797
394359,2021-06-30,190353.9977969405
394359,2021-07-31,190264.33181044867
394359,2021-08-31,175720.65165006672
394359,2021-09-30,191536.33929448578
394360,2021-06-30,224105.14756322108
394360,2021-07-31,224417.25489676677
394360,2021-08-31,225726.47801551974
394360,2021-09-30,226580.240632442
394361,2021-06-30,536284.0687778705
394361,2021-07-31,534474.8954514279
394361,2021-08-31,494400.17000123666
394361,2021-09-30,537615.6735598128
394362,2021-06-30,274042.3235003056
394362,2021-07-31,262461.60137031955
394362,2021-08-31,249269.641268751
394362,2021-09-30,263611.92810067063
394363,2021-06-30,113646.65296675933
394363,2021-07-31,114669.99459094508
394363,2021-08-31,112678.82771532293
394363,2021-09-30,115514.27322229804
394364,2021-06-30,58128.73943547316
394364,2021-07-31,58440.01204379593
394364,2021-08-31,58504.66454518127
394364,2021-09-30,58628.48171984663
394365,2021-06-30,150589.6795014745
394365,2021-07-31,151430.49958217313
394365,2021-08-31,150063.84243841117
394365,2021-09-30,152506.4712677733
394366,2021-06-30,104613.88790747806
394366,2021-07-31,104717.51923657612
394366,2021-08-31,104851.44447960287
394366,2021-09-30,105333.31096505816
394367,2021-06-30,201396.92883425837
394367,2021-07-31,196525.71371225506
394367,2021-08-31,194031.1639683756
394367,2021-09-30,196568.94370254024
394368,2021-06-30,144810.40458440833
394368,2021-07-31,143100.63593404
