dataset,metric,model,value
car_parts_without_missing,time,amazon/chronos-t5-large,61.37498164176941
traffic,mase,amazon/chronos-t5-large,0.6439855485666206
traffic,scaled_crps,amazon/chronos-t5-large,0.11541984120821774
traffic,smape,amazon/chronos-t5-large,0.07666738733180352
traffic,time,amazon/chronos-t5-large,202.267151594162
tourism_quarterly,mase,amazon/chronos-t5-large,1.636352795592795
tourism_quarterly,scaled_crps,amazon/chronos-t5-large,0.06029581122177019
tourism_quarterly,smape,amazon/chronos-t5-large,0.0809763833396224
tourism_quarterly,time,amazon/chronos-t5-large,12.612515926361084
nn5_daily_without_missing,mase,amazon/chronos-t5-large,0.8244190562415767
nn5_daily_without_missing,scaled_crps,amazon/chronos-t5-large,0.11889974128881899
nn5_daily_without_missing,smape,amazon/chronos-t5-large,0.10335051835522996
nn5_daily_without_missing,time,amazon/chronos-t5-large,57.015567779541016
australian_electricity_demand,mase,amazon/chronos-t5-large,1.1838738203048706
australian_electricity_demand,scaled_crps,amazon/chronos-t5-large,0.054170897591180406
australian_electricity_demand,smape,amazon/chronos-t5-large,0.05088521093130112
australian_electricity_demand,time,amazon/chronos-t5-large,4.7030205726623535
fred_md,mase,amazon/chronos-t5-large,0.5707303561339868
fred_md,scaled_crps,amazon/chronos-t5-large,0.02891833024209383
fred_md,smape,amazon/chronos-t5-large,0.0518662185238448
fred_md,time,amazon/chronos-t5-large,15.487030982971191
nn5_weekly,mase,amazon/chronos-t5-large,0.9285505722771894
nn5_weekly,scaled_crps,amazon/chronos-t5-large,0.07786077119150686
nn5_weekly,smape,amazon/chronos-t5-large,0.057536050039637195
nn5_weekly,time,amazon/chronos-t5-large,3.8538029193878174
m3_quarterly,mase,amazon/chronos-t5-mini,1.29225521726859
m3_quarterly,scaled_crps,amazon/chronos-t5-mini,0.06774183713253924
m3_quarterly,smape,amazon/chronos-t5-mini,0.05333445108142711
m3_quarterly,time,amazon/chronos-t5-mini,2.3047566413879395
cif_2016,mase,amazon/chronos-t5-mini,1.0250064205999176
cif_2016,scaled_crps,amazon/chronos-t5-mini,0.018711587193450306
cif_2016,smape,amazon/chronos-t5-mini,0.07552854362681198
cif_2016,time,amazon/chronos-t5-mini,1.531517744064331
tourism_monthly,mase,amazon/chronos-t5-mini,1.9736192701129966
tourism_monthly,scaled_crps,amazon/chronos-t5-mini,0.08440214836114515
tourism_monthly,smape,amazon/chronos-t5-mini,0.13150321465759165
tourism_monthly,time,amazon/chronos-t5-mini,5.705073356628418
nn5_daily_without_missing,mase,amazon/chronos-t5-mini,0.9003589974867331
nn5_daily_without_missing,scaled_crps,amazon/chronos-t5-mini,0.13647652176150166
nn5_daily_without_missing,smape,amazon/chronos-t5-mini,0.1119760549753099
nn5_daily_without_missing,time,amazon/chronos-t5-mini,5.834006071090698
tourism_yearly,mase,amazon/chronos-t5-mini,4.175257317060209
tourism_yearly,scaled_crps,amazon/chronos-t5-mini,0.1415928569371613
tourism_yearly,smape,amazon/chronos-t5-mini,0.24489328303126237
tourism_yearly,time,amazon/chronos-t5-mini,1.6532740592956543
m1_quarterly,mase,amazon/chronos-t5-mini,1.7986467047571548
m1_quarterly,scaled_crps,amazon/chronos-t5-mini,0.08442952562586871
m1_quarterly,smape,amazon/chronos-t5-mini,0.09156498461938807
m1_quarterly,time,amazon/chronos-t5-mini,1.6906764507293701
weather,mase,amazon/chronos-t5-mini,0.5978888521965112
weather,scaled_crps,amazon/chronos-t5-mini,0.12770786953387214
weather,smape,amazon/chronos-t5-mini,0.3342365208894101
weather,time,amazon/chronos-t5-mini,92.71523237228394
australian_electricity_demand,mase,amazon/chronos-t5-mini,0.8816773056983948
australian_electricity_demand,scaled_crps,amazon/chronos-t5-mini,0.04222645154281616
australian_electricity_demand,smape,amazon/chronos-t5-mini,0.04034846220165491
australian_electricity_demand,time,amazon/chronos-t5-mini,2.116403341293335
m4_quarterly,mase,amazon/chronos-t5-mini,1.269266828993995
m4_quarterly,scaled_crps,amazon/chronos-t5-mini,0.06804156896109698
m4_quarterly,smape,amazon/chronos-t5-mini,0.05510901830696093
m4_quarterly,time,amazon/chronos-t5-mini,170.77786302566528
dominick,mase,amazon/chronos-t5-mini,0.7820086341047263
dominick,scaled_crps,amazon/chronos-t5-mini,0.3991808787902814
